Y,wheat,barley,corn,rice,legumes
3.60E-02,1.00E+00,5.31E-01,6.41E-01,8.24E-01,0.00E+00
2.03E-01,1.00E+00,3.75E-01,3.49E-01,5.57E-01,0.00E+00
1.00E+00,4.73E-01,1.57E-01,2.00E-01,2.89E-01,0.00E+00
1.84E-02,1.00E+00,2.19E-01,1.87E-01,3.61E-01,0.00E+00
4.72E-02,1.00E+00,1.37E-01,7.18E-02,1.29E-01,0.00E+00
6.05E-02,1.00E+00,7.44E-02,4.52E-02,1.22E-01,0.00E+00
1.21E-01,1.00E+00,4.44E-02,3.89E-02,1.26E-01,0.00E+00
1.43E-01,1.00E+00,1.87E-02,2.82E-02,9.56E-02,0.00E+00
2.35E-01,1.00E+00,2.89E-02,4.18E-02,1.15E-01,0.00E+00
3.75E-01,1.00E+00,2.23E-02,3.30E-02,4.47E-02,0.00E+00
5.46E-01,1.00E+00,3.40E-02,3.41E-02,2.08E-02,0.00E+00
6.27E-01,1.00E+00,4.16E-02,2.44E-02,3.19E-02,0.00E+00
7.25E-01,1.00E+00,2.63E-02,2.29E-02,5.94E-02,0.00E+00
8.37E-01,1.00E+00,1.56E-02,2.39E-02,2.97E-02,0.00E+00
9.87E-01,1.00E+00,1.51E-02,2.36E-02,2.48E-02,0.00E+00
1.00E+00,8.08E-01,5.67E-03,2.18E-02,2.57E-02,0.00E+00
1.00E+00,6.64E-01,7.15E-03,1.88E-02,1.77E-02,0.00E+00
1.00E+00,5.42E-01,9.59E-03,1.74E-02,6.98E-03,0.00E+00
1.00E+00,4.86E-01,1.54E-02,1.51E-02,1.24E-02,0.00E+00
1.00E+00,2.18E-01,4.56E-03,6.26E-03,6.85E-03,0.00E+00
1.00E+00,1.43E-01,2.19E-03,4.81E-03,1.79E-03,0.00E+00
1.00E+00,1.18E-01,1.70E-03,5.05E-03,5.01E-03,0.00E+00
1.00E+00,1.02E-01,1.11E-03,4.49E-03,4.19E-03,0.00E+00
1.00E+00,8.43E-02,8.43E-04,4.17E-03,3.49E-03,0.00E+00
1.00E+00,6.92E-02,7.56E-04,3.65E-03,3.51E-03,0.00E+00
1.00E+00,5.92E-02,5.97E-04,3.41E-03,3.06E-03,0.00E+00
1.00E+00,4.02E-02,0.00E+00,1.72E-03,1.76E-03,5.28E-04
1.00E+00,2.83E-02,0.00E+00,1.61E-03,5.84E-04,7.91E-04
1.00E+00,2.76E-02,0.00E+00,1.33E-03,8.38E-04,9.54E-04
1.00E+00,2.40E-02,0.00E+00,1.25E-03,5.28E-04,9.60E-04
1.00E+00,1.94E-02,0.00E+00,1.63E-03,7.86E-04,1.13E-03
1.00E+00,3.84E-02,6.49E-04,1.18E-04,2.34E-03,0.00E+00
