Y,wheat,barley,corn,rice,legumes
5.29E-05,2.24E-02,3.28E-01,2.47E-01,2.82E-01,7.49E-03
3.85E-04,3.49E-02,3.62E-01,2.11E-01,2.98E-01,6.86E-03
3.55E-03,3.17E-02,2.93E-01,2.32E-01,2.97E-01,8.13E-03
5.84E-05,4.86E-02,2.96E-01,1.58E-01,2.70E-01,7.87E-03
2.21E-04,8.34E-02,3.19E-01,1.07E-01,1.68E-01,8.76E-03
3.22E-04,9.62E-02,2.03E-01,7.88E-02,1.82E-01,9.52E-03
7.12E-04,1.08E-01,1.42E-01,7.85E-02,2.13E-01,1.49E-02
9.79E-04,1.24E-01,8.14E-02,7.11E-02,1.91E-01,2.49E-02
1.59E-03,1.26E-01,1.10E-01,9.64E-02,2.26E-01,1.42E-02
2.47E-03,1.23E-01,8.37E-02,7.50E-02,8.86E-02,1.17E-02
3.75E-03,1.29E-01,1.29E-01,8.12E-02,4.60E-02,1.32E-02
5.79E-03,1.73E-01,2.16E-01,8.45E-02,9.49E-02,2.67E-02
7.27E-03,1.88E-01,1.51E-01,8.40E-02,1.79E-01,2.23E-02
8.22E-03,1.84E-01,1.01E-01,8.98E-02,9.62E-02,3.20E-02
1.06E-02,2.03E-01,1.04E-01,9.44E-02,8.78E-02,2.77E-02
1.34E-02,2.04E-01,6.74E-02,1.12E-01,1.15E-01,3.92E-02
1.66E-02,2.07E-01,9.15E-02,1.19E-01,1.01E-01,4.24E-02
2.01E-02,2.06E-01,1.31E-01,1.33E-01,5.81E-02,4.44E-02
2.43E-02,2.22E-01,2.15E-01,1.33E-01,9.95E-02,3.25E-02
5.49E-02,2.26E-01,1.64E-01,1.33E-01,1.28E-01,4.91E-02
8.06E-02,2.18E-01,1.26E-01,1.47E-01,6.13E-02,4.91E-02
9.92E-02,2.21E-01,1.30E-01,1.88E-01,1.67E-01,5.93E-02
1.18E-01,2.29E-01,1.25E-01,2.07E-01,1.74E-01,7.92E-02
1.46E-01,2.33E-01,1.28E-01,2.36E-01,1.82E-01,8.98E-02
1.77E-01,2.33E-01,1.39E-01,2.53E-01,2.18E-01,9.70E-02
2.06E-01,2.32E-01,1.54E-01,2.83E-01,2.31E-01,1.25E-01
2.64E-01,2.03E-01,1.23E-01,2.24E-01,2.02E-01,2.70E-01
3.34E-01,1.81E-01,1.03E-01,2.37E-01,1.13E-01,3.30E-01
3.85E-01,2.04E-01,1.22E-01,2.42E-01,1.61E-01,4.31E-01
4.45E-01,2.06E-01,1.48E-01,2.73E-01,1.50E-01,5.10E-01
5.40E-01,2.00E-01,8.79E-02,3.39E-01,1.71E-01,5.58E-01
2.26E-01,1.64E-01,1.02E-01,2.53E-02,1.67E-01,3.70E-02
