Y,wheat,barley,corn,rice,legumes
-1.25392084,1.32067117,0.06940501,0.36256341,0.85129514,-1.35001389
-0.67447169,1.87583098,-0.12396447,-0.20887164,0.45741809,-1.32594126
2.00626125,0.37204985,-0.60775941,-0.476255,-0.19842659,-1.09587009
-0.82739213,2.08305683,-0.23373682,-0.32888572,0.18889654,-0.8819387
-0.52885861,2.21565467,-0.27023945,-0.45809448,-0.29351865,-0.66494348
-0.44449565,2.22426107,-0.40487781,-0.48787719,-0.27067238,-0.61633803
-0.28771546,2.21764491,-0.50484137,-0.52078047,-0.27283897,-0.63146864
-0.19988438,2.21449746,-0.55138022,-0.68091563,-0.33457112,-0.6040208
-0.00521358,2.18113284,-0.59429722,-0.55729352,-0.34747873,-0.6768498
0.35779961,2.08956229,-0.61928547,-0.58958088,-0.55738834,-0.68110721
0.72515096,1.92640137,-0.63167892,-0.6313335,-0.66677412,-0.7217658
0.87554389,1.83959821,-0.63467618,-0.67888555,-0.65963147,-0.74194891
1.04303715,1.72703204,-0.69473475,-0.70298366,-0.61228992,-0.76006085
1.21512287,1.59554774,-0.70670951,-0.6871721,-0.67364949,-0.74313952
1.39976691,1.42812964,-0.70863672,-0.6902315,-0.68757137,-0.74145695
1.6280619,1.17551539,-0.718861,-0.68091563,-0.67154718,-0.73225349
1.7925137,0.95077425,-0.69524716,-0.66614059,-0.66873505,-0.71316514
1.9249608,0.72941504,-0.66071137,-0.64040589,-0.66751845,-0.68574013
1.9828448,0.6157038,-0.6372936,-0.63801739,-0.64507923,-0.67815838
2.18416972,0.03226294,-0.55372663,-0.54903222,-0.54741684,-0.56625697
2.21363004,-0.13324676,-0.52011701,-0.51294176,-0.52120692,-0.52611758
2.22124905,-0.19266045,-0.51054048,-0.50136879,-0.50148669,-0.51519265
2.22496722,-0.2271615,-0.50310638,-0.49387694,-0.49469578,-0.50612662
2.2285737,-0.26669421,-0.49396746,-0.4848984,-0.48674889,-0.49626473
2.23106565,-0.29996043,-0.48610197,-0.47823349,-0.47861325,-0.48815652
2.23242976,-0.32176683,-0.48083955,-0.47321205,-0.47414991,-0.48246142
2.2343924,-0.36215919,-0.47077324,-0.46611253,-0.46600291,-0.46934452
2.23524208,-0.38757271,-0.46393077,-0.45958762,-0.46235576,-0.46179522
2.23528708,-0.38920852,-0.46362702,-0.46003345,-0.4613645,-0.46105359
2.23547848,-0.39684329,-0.461508,-0.45812395,-0.4600845,-0.45891874
2.23569431,-0.40718976,-0.45951773,-0.45512641,-0.45739937,-0.45646104
2.2345178,-0.36546315,-0.46760821,-0.46904612,-0.46303633,-0.46936399
